dataset,method,num_trees,split,iter,accuracy,f1_score
bankruptcy,rt-us,5,50/50,3,0.7012987012987013,0.7028862478777589
bankruptcy,rt-us,5,50/50,4,0.6333333333333333,0.6305418719211823
bankruptcy,rt-us,5,67/33,0,0.7803030303030303,0.7571428571428571
bankruptcy,rt-us,5,67/33,1,0.7638888888888888,0.7638888888888888
bankruptcy,rt-us,5,67/33,2,0.8712121212121212,0.8712121212121212
bankruptcy,rt-us,5,67/33,3,0.8571428571428572,0.8712121212121212
bankruptcy,rt-us,5,67/33,4,0.5833333333333333,0.5824561403508772
bankruptcy,et-ss,5,33/67,0,0.8087719298245615,0.793939393939394
bankruptcy,et-ss,5,33/67,1,0.7430555555555556,0.7332170880557978
bankruptcy,et-ss,5,33/67,2,0.7947368421052632,0.7925021795989537
bankruptcy,et-ss,5,33/67,3,0.7821428571428571,0.7850045167118338
bankruptcy,et-ss,5,33/67,4,0.7666666666666666,0.770048309178744
bankruptcy,et-ss,5,50/50,0,0.7333333333333334,0.7395833333333333
bankruptcy,et-ss,5,50/50,1,0.7211538461538461,0.72
bankruptcy,et-ss,5,50/50,2,0.8819444444444444,0.8726655348047538
bankruptcy,et-ss,5,50/50,3,0.7467532467532467,0.75
bankruptcy,et-ss,5,50/50,4,0.8,0.7596153846153846
bankruptcy,et-ss,5,67/33,0,0.8712121212121212,0.8712121212121212
bankruptcy,et-ss,5,67/33,1,0.9444444444444444,0.9411764705882353
bankruptcy,et-ss,5,67/33,2,0.8257575757575758,0.8131868131868132
bankruptcy,et-ss,5,67/33,3,0.6357142857142857,0.6357142857142857
bankruptcy,et-ss,5,67/33,4,0.7569444444444444,0.7571428571428571
bankruptcy,rf-ss,5,33/67,0,0.7368421052631579,0.6964285714285714
bankruptcy,rf-ss,5,33/67,1,0.8854166666666667,0.8823529411764706
bankruptcy,rf-ss,5,33/67,2,0.8280701754385965,0.8229166666666667
bankruptcy,rf-ss,5,33/67,3,0.7821428571428571,0.7850045167118338
bankruptcy,rf-ss,5,33/67,4,0.7543859649122806,0.7571428571428571
bankruptcy,rf-ss,5,50/50,0,0.85,0.8663101604278074
bankruptcy,rf-ss,5,50/50,1,0.875,0.8768472906403941
bankruptcy,rf-ss,5,50/50,2,0.7708333333333333,0.7771836007130125
bankruptcy,rf-ss,5,50/50,3,0.7467532467532467,0.75
bankruptcy,rf-ss,5,50/50,4,0.65,0.6527777777777778
bankruptcy,rf-ss,5,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,rf-ss,5,67/33,1,0.8888888888888888,0.8819444444444444
bankruptcy,rf-ss,5,67/33,2,0.8257575757575758,0.8131868131868132
bankruptcy,rf-ss,5,67/33,3,0.7571428571428571,0.7571428571428571
bankruptcy,rf-ss,5,67/33,4,0.6597222222222222,0.6357142857142857
bankruptcy,xg-ss,5,33/67,0,0.868421052631579,0.8528138528138528
bankruptcy,xg-ss,5,33/67,1,0.9131944444444444,0.9116883116883117
bankruptcy,xg-ss,5,33/67,2,0.8280701754385965,0.8229166666666667
bankruptcy,xg-ss,5,33/67,3,0.7678571428571428,0.7614035087719297
bankruptcy,xg-ss,5,33/67,4,0.7736842105263158,0.7786046511627907
bankruptcy,xg-ss,5,50/50,0,0.8,0.7947454844006567
bankruptcy,xg-ss,5,50/50,1,0.875,0.8768472906403941
bankruptcy,xg-ss,5,50/50,2,0.7326388888888888,0.7126436781609196
bankruptcy,xg-ss,5,50/50,3,0.7662337662337663,0.7596153846153846
bankruptcy,xg-ss,5,50/50,4,0.8833333333333333,0.8768472906403941
bankruptcy,xg-ss,5,67/33,0,0.7348484848484849,0.7017543859649122
bankruptcy,xg-ss,5,67/33,1,0.9444444444444444,0.9411764705882353
bankruptcy,xg-ss,5,67/33,2,0.9090909090909092,0.8785714285714286
bankruptcy,xg-ss,5,67/33,3,0.7071428571428571,0.7017543859649122
bankruptcy,xg-ss,5,67/33,4,0.5972222222222222,0.5824561403508772
bankruptcy,et-sv,5,33/67,0,0.868421052631579,0.8528138528138528
bankruptcy,et-sv,5,33/67,1,0.8541666666666667,0.8528138528138528
bankruptcy,et-sv,5,33/67,2,0.887719298245614,0.8819444444444444
bankruptcy,et-sv,5,33/67,3,0.6964285714285714,0.6964285714285714
bankruptcy,et-sv,5,33/67,4,0.7280701754385965,0.7294429708222812
bankruptcy,et-sv,5,50/50,0,0.7833333333333333,0.7877758913412564
bankruptcy,et-sv,5,50/50,1,0.9166666666666667,0.9188311688311688
bankruptcy,et-sv,5,50/50,2,0.8263888888888888,0.8263888888888888
bankruptcy,et-sv,5,50/50,3,0.7467532467532467,0.75
bankruptcy,et-sv,5,50/50,4,0.6666666666666666,0.6666666666666666
bankruptcy,et-sv,5,67/33,0,0.7803030303030303,0.7571428571428571
bankruptcy,et-sv,5,67/33,1,0.8888888888888888,0.8819444444444444
bankruptcy,et-sv,5,67/33,2,0.9166666666666667,0.9328063241106719
bankruptcy,et-sv,5,67/33,3,0.7857142857142857,0.7984189723320159
bankruptcy,et-sv,5,67/33,4,0.5902777777777778,0.5882352941176471
bankruptcy,rf-sv,5,33/67,0,0.8543859649122807,0.85178727114211
bankruptcy,rf-sv,5,33/67,1,0.8263888888888888,0.8235294117647058
bankruptcy,rf-sv,5,33/67,2,0.8017543859649123,0.793939393939394
bankruptcy,rf-sv,5,33/67,3,0.7678571428571428,0.7614035087719297
bankruptcy,rf-sv,5,33/67,4,0.7473684210526316,0.7509157509157509
bankruptcy,rf-sv,5,50/50,0,0.8333333333333334,0.8333333333333334
bankruptcy,rf-sv,5,50/50,1,0.8365384615384616,0.8376623376623377
bankruptcy,rf-sv,5,50/50,2,0.7951388888888888,0.7877758913412564
bankruptcy,rf-sv,5,50/50,3,0.7467532467532467,0.75
bankruptcy,rf-sv,5,50/50,4,0.7333333333333334,0.7395833333333333
bankruptcy,rf-sv,5,67/33,0,0.8333333333333333,0.8583333333333334
bankruptcy,rf-sv,5,67/33,1,0.7638888888888888,0.7638888888888888
bankruptcy,rf-sv,5,67/33,2,0.8257575757575758,0.8131868131868132
bankruptcy,rf-sv,5,67/33,3,0.7357142857142858,0.7424242424242424
bankruptcy,rf-sv,5,67/33,4,0.7152777777777778,0.7017543859649122
bankruptcy,xg-sv,5,33/67,0,0.8210526315789474,0.8210526315789474
bankruptcy,xg-sv,5,33/67,1,0.8541666666666667,0.8528138528138528
bankruptcy,xg-sv,5,33/67,2,0.880701754385965,0.880701754385965
bankruptcy,xg-sv,5,33/67,3,0.8035714285714286,0.7925021795989537
bankruptcy,xg-sv,5,33/67,4,0.7,0.6899696048632218
bankruptcy,xg-sv,5,50/50,0,0.8166666666666667,0.8263888888888888
bankruptcy,xg-sv,5,50/50,1,0.8365384615384616,0.8376623376623377
bankruptcy,xg-sv,5,50/50,2,0.8263888888888888,0.8263888888888888
bankruptcy,xg-sv,5,50/50,3,0.7922077922077921,0.7947454844006567
bankruptcy,xg-sv,5,50/50,4,0.7333333333333334,0.7395833333333333
bankruptcy,xg-sv,5,67/33,0,0.7878787878787878,0.7984189723320159
bankruptcy,xg-sv,5,67/33,1,0.8194444444444444,0.8210526315789474
bankruptcy,xg-sv,5,67/33,2,0.8257575757575758,0.8131868131868132
bankruptcy,xg-sv,5,67/33,3,0.7357142857142858,0.7424242424242424
bankruptcy,xg-sv,5,67/33,4,0.6597222222222222,0.6357142857142857
bankruptcy,llama3.1:70b,5,33/67,0,0.8614035087719298,0.8528138528138528
bankruptcy,llama3.1:70b,5,33/67,1,0.7986111111111112,0.793939393939394
bankruptcy,llama3.1:70b,5,33/67,2,0.887719298245614,0.8819444444444444
bankruptcy,llama3.1:70b,5,33/67,3,0.8642857142857143,0.85178727114211
bankruptcy,llama3.1:70b,5,33/67,4,0.8070175438596491,0.8131868131868132
bankruptcy,llama3.1:70b,5,50/50,0,0.7833333333333333,0.7877758913412564
bankruptcy,llama3.1:70b,5,50/50,1,0.7596153846153846,0.7596153846153846
bankruptcy,llama3.1:70b,5,50/50,2,0.8576388888888888,0.8663101604278074
bankruptcy,llama3.1:70b,5,50/50,3,0.8474025974025974,0.8397435897435898
bankruptcy,llama3.1:70b,5,50/50,4,0.7666666666666666,0.7771836007130125
bankruptcy,llama3.1:70b,5,67/33,0,0.9090909090909092,0.8785714285714286
bankruptcy,llama3.1:70b,5,67/33,1,0.8263888888888888,0.8235294117647058
bankruptcy,llama3.1:70b,5,67/33,2,0.9545454545454546,0.9377289377289377
bankruptcy,llama3.1:70b,5,67/33,3,0.9285714285714286,0.9377289377289377
